 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.47307,3.10568,-0.0096463,1.55043,48.9651,10.4606,0.781158,0.822042,-0.0135485,0.999908,8.71957,0.0504565,-2.44036,-2.46208,-2.45735,-2.45094,7.93848,9.54154,9.1926
0.474806,3.09945,-0.009424,1.54995,49.0156,10.4754,0.780264,0.822724,-0.0137275,0.999906,8.71888,0.0504351,-2.49057,-2.51257,-2.5078,-2.50128,7.93869,9.54153,9.19364
0.476573,3.09323,-0.0092009,1.54949,49.066,10.4902,0.778201,0.821854,-0.013893,0.999903,8.71819,0.0504146,-2.54079,-2.56302,-2.55822,-2.5516,7.94006,9.53996,9.19471
0.47837,3.08703,-0.0089771,1.54903,49.1164,10.5049,0.779308,0.824389,-0.014045,0.999901,8.71748,0.050395,-2.59096,-2.61348,-2.60862,-2.60191,7.93825,9.54179,9.19581
0.480197,3.08084,-0.0087526,1.54859,49.1668,10.5196,0.782886,0.829514,-0.0141835,0.999899,8.71677,0.0503764,-2.64109,-2.66396,-2.65901,-2.6522,7.93397,9.5462,9.19692
0.482051,3.07466,-0.0085275,1.54816,49.2172,10.5342,0.782045,0.829937,-0.0143085,0.999898,8.71606,0.0503588,-2.69128,-2.71435,-2.70937,-2.70247,7.93409,9.54591,9.19806
0.483933,3.06849,-0.0083018,1.54774,49.2676,10.5488,0.776763,0.826182,-0.0144199,0.999896,8.71534,0.0503421,-2.74154,-2.76465,-2.75972,-2.75274,7.93865,9.54143,9.19922
0.485839,3.06234,-0.0080756,1.54733,49.3179,10.5634,0.774616,0.825484,-0.0145178,0.999895,8.71461,0.0503263,-2.79175,-2.81498,-2.81004,-2.80299,7.94007,9.54001,9.2004
0.48777,3.0562,-0.007849,1.54693,49.3682,10.5778,0.775363,0.827614,-0.0146021,0.999893,8.71388,0.0503115,-2.84191,-2.86532,-2.86036,-2.85323,7.9386,9.5414,9.2016
0.489724,3.05007,-0.0076218,1.54654,49.4185,10.5923,0.773242,0.826968,-0.0146728,0.999892,8.71314,0.0502976,-2.89212,-2.9156,-2.91065,-2.90347,7.93998,9.54002,9.20281
0.4917,3.04396,-0.0073944,1.54617,49.4688,10.6067,0.7738,0.829071,-0.0147299,0.999892,8.7124,0.0502845,-2.94229,-2.9659,-2.96094,-2.95369,7.93869,9.54138,9.20405
0.493696,3.03785,-0.0071665,1.5458,49.5191,10.621,0.771796,0.828525,-0.0147734,0.999891,8.71166,0.0502726,-2.99251,-3.01615,-3.0112,-3.00391,7.93995,9.5401,9.2053
